description,skills,status
This course provides a continuation of work done in PC2288/R and the project should be of two semesters' duration. Please note that only 4 Units can be accredited towards major requirements in the case a student undertakes 8 Units for both PC2288/R and PC2289/R.,,pending
"This course provides a continuation of work done in PC2288/R and the project should be of two semesters' duration. It is enhanced with the Research Experience Programme, where students attend seminars and workshops, access writing consultations, receive a grant to do independent research, and present their findings at a conference. Please note that only 4 Units can be accredited towards major requirements in the case a student undertakes 8 Units for both PC2288/R and PC2289/R.",,pending
"This course introduces the use of telescopes and data collection in astronomy. Students will learn how to set up and competently operate a telescope. Then students will learn how to plan and conduct astronomical observations for scientific purposes. Finally, students will learn how to process and analyse astronomical data.",,pending
"This course will adopt a heuristic approach to celestial dynamics. Mathematics will be introduced only when necessary. Participants will also be enthused with the historical and philosophical development of celestial adventures discussed. Topics covered include elements of Newton and Kepler’s Laws, Planetary Orbits and Rocketry, Apollo program, Saturn V & SpaceX Boosters.",,pending
"The satisfaction of understanding how rainbows are formed, how ice skaters spin, or why ocean tides roll in and out — phenomena that we have know — is one of the best motivators available for building scientific literacy. This course aims to make the physics of the world around us accessible to non-science majors. The coverage will be broad, and include Newtonian mechanics, fluid and heat, electricity and magnetism, waves and optics, and modern physics, with emphasis on relevance to everyday phenomena. The use of mathematics will be limited in this course and subordinated to the physical concepts being addressed.",,pending
"Climate change and global warming are currently some of the most pressing problems that the world has to address. This course aims to provide a basic introduction to the processes that are involved in climate change, based on a physics perspective. Students will learn about climate processes, solar radiation and the energy budget of the earth, as well as basic thermal and radiation physics behind the greenhouse effect and the phenomenon of global warming. The phenomena of loss of sea ice and accelerated sea level rise will also be discussed.",,pending
"The solutions to the global energy crisis lie in harnessing what Mother Nature has already provided. This course aims to help students discover the scientific underpinnings of natural phenomena that can be tapped for energy production and storage. Students will learn about the physical principles behind harnessing energy from the sun, ocean, wind and atomic nuclei (nuclear energy), as well as forms of energy storage such as batteries and fuel cells. The impact of these technologies on the environment will also be discussed. All physics concepts will be taught as needed. The course is suitable for students from diverse backgrounds.",,pending
"The course introduces the basic ideas of quantum computation, i.e., to use quantum mechanical systems to perform computational tasks. Quantum computing is a multi-disciplinary field, with realisations grounded in physics, but which rely on core concepts in mathematics and computer science. Students will learn about the potential advantage quantum mechanics can bring to computing, understand central quantum information concepts, explore some of the basic algorithms, as well as get hands-on experience on quantum computing devices on the cloud. Prior experience with quantum mechanics is not assumed, but knowledge of linear algebra is required.",,pending
"This course continues from PC2130 and completes the basic foundation in quantum mechanics. For the first part, we begin with a review of the foundations of single-particle quantum mechanics, and then develop a description of composite systems involving tensor products. This is followed by a discussion of angular momentum and the addition of angular momenta, as well as a description of systems of N identical particles. The second part will focus on approximation methods, in particular the variational principle, perturbation theory: time-independent, both non-degenerate and degenerate, as well as time-dependent perturbation theory and its applications to describing light-matter interactions.",,pending
"This course provides hands-on training in advanced experimental techniques and analytical skills. Students will work on experiments in nuclear, atomic, radiation and solid state physics, as well as spin dynamics and optics. Lectures will be conducted at specific junctures to further reinforce students in the necessary foundational knowledge before the start of the experiments. This course exposes students to a variety of well-known experiments, such as the Faraday, Kerr and Zeeman effects. Spectrometric methods commonly performed in the industry and research settings are also available, such as Atomic Force Microscopy (AFM), X-ray Fluorescence (XRF) and Nuclear Magnetic Resonance (NMR).",,pending
"This elective course assumes knowledge of and is a sequel to PC2031. A good command of calculus and linear algebra is desirable. It is intended for students who wish to acquire a deeper understanding of Electricity and Magnetism. It prepares students for more advanced study at the postgraduate level. This course provides a comprehensive treatment of electromagnetic fields and forces. It covers the following topics: Electrostatic fields in matter, magnetostatic fields in matter, time-varying electric and magnetic fields in matter, relativistic electrodynamics, and radiation.",,pending
"PC3232 is an intermediate course in nuclear physics with an introduction to particle physics. The course begins by exploring the Standard Model, which seeks to explain the Universe in terms of fundamental particles, interactions, and symmetries. The focus then shifts to nuclear particles and nuclear phenomena, applying these foundational concepts to model and understand key topics such as stability, decay, fission, and fusion. Throughout the course, you will gain an appreciation of how the principles of quantum mechanics and relativity shape our Universe.",,pending
"This course explores elements of nuclear physics and its applications for students who are not physics majors, beginning with a concise introduction to the relevant elements of quantum mechanics. After a discussion of basic nuclear properties (masses, radii, spins, binding energies), elements of nuclear structure are introduced (liquid drop, Fermi gas and Shell model). Then alpha, beta and gamma decays, their selection rules and transition probabilities are discussed. The general properties of nuclear reactions, their conservation laws and energetics and the general features of the different reaction mechanisms are illustrated. The various interactions between radiation and matter are discussed, and an introduction to radiation detectors and technological applications (nuclear medicine, PET, accelerators, fusion, fission) are covered, and lastly the basics of radiation protection are discussed.",,pending
"This course presents the basic concepts and principles of atomic and molecular physics. In particular, the course revolves around the energy level schemes of atoms and molecules which are essential to the interpretation of atomic and molecular spectra. Topics covered include the hydrogen and helium atoms, spin-orbit coupling schemes, hyperfine interaction, Lamb shift, atoms in magnetic fields, multi-electron atoms, Pauli exclusion principle, Hund's rules, diatomic molecules, Born-Oppenheimer approximation, electronic, vibrational, rotational and rotational-vibrational spectra; The course is targeted at students who have background in quantum mechanics and want to build the foundations for studying the interactions of matter and light in modern atomic physics contexts.",,pending
"This is a first course in solid state physics. It aims to lay the foundations for students seeking to major in physics as well as students studying in materials science and engineering. The lectures emphasize on the fundamental concepts of condensed matter, covering crystal structure and reciprocal lattice, crystal binding and elastic constants, crystal vibrations and thermal properties, free electron theory and physical properties of metals, electron in periodic potentials, and basic semiconductors. Simple model prediction data and the experimental data from real systems would be compared and discussed to help students develop an intuitive understanding of the subject.",,pending
"The course covers fundamental solid state physics concepts (crystal structure, reciprocal lattice, free electron theory) and the physical properties of metals, electrons in periodic potentials, and basic semiconductor physics: Doping, p-n junctions, crystal defects, diffusion processes, energy bands of the nearly free electron model, tight binding approximations, Fermi surfaces and their experimental determination, optical processes, piezoelectricity, basic ideas of magnetism.",,pending
"The course presents basic computational methods useful for physics and science students. The lectures cover: (1) Basic numerical methods - differentiation, integration, interpolation, root-finding and random number generators, (2) Differential equations - finite difference method, shooting method and relaxation method; applications to chaotic dynamics of a driven pendulum, one-dimensional Schrödinger equation, and fast Fourier transform, (3) Matrices - Gaussian elimination scheme for a system of linear equations, eigenvalues of Hermitian matrices; Hartree-Fock approximation, (4) Monte Carlo simulations - sampling and integration; random walk and simulation of diffusion equation, stochastic differential equation, Brownian dynamics; variational Monte Carlo simulation; Metropolis algorithm and Ising model, and (5) Finite element methods - basic concepts; applications to the Poisson equation in electrostatics.",,pending
"This course introduces fundamental aspects of fluid dynamics, with emphasis on topics relevant to atmospheric and ocean dynamics. The Navier-Stokes equations are derived from first principles. After an introduction to potential flow theory, the study of water waves is taken up to illustrate the behaviour of dispersive wave propagation and nonlinear shock forming tendency. Effects of vertical stratification and rotation on fluid flows are then discussed, and applied to the analysis of atmospheric and ocean flow phenomena. The course closes with an introduction to the theories of turbulence, with application to the atmospheric boundary layer.",,pending
"This course will cover the basic physical principles and mathematical theories essential for understanding the dynamics of the atmosphere, ocean and climate. The aim is to provide students with an introductory but rigorous course, so that they will be well-prepared for postgraduate studies or a career as research scientist at weather services or climate research establishments. The major topics to be covered include: radiative energy balance and green-house effect, dynamics of the atmosphere in the mid-latitudes and the tropics, dynamics of the wind driven, thermohaline ocean circulations, and numerical simulations of the atmosphere-ocean systems for weather prediction and climate projects.",,pending
"This course aims to introduce students to solid state devices. The topics covered include: introduction to semiconductors, charge carrier concentrations, drift of carriers in electric and magnetic fields, diffusion and recombination of excess carriers, p-n junction physics, junction diodes, tunnel diodes, photodiodes, light emitting diodes, bipolar junction transistors, junction field effect transistors (JFET), metal-semiconductor contacts metal-insulator-semiconductor interfaces, basic MOSFET.",,pending
"The ability to create and characterize nanomaterials and nanostructures is important for many emerging advanced materials industries, from silicon electronics to intelligent nanosystems. Two general approaches to create nanostructures are bottom-up (colloidal-based chemistry) and top-down (nanofabrication and nanopatterning) methods. The course covers the essential physical chemistry principles and synthesis of bottom-up nanomaterials. Principles and practical aspects of top-down nanostructuring using nanolithography (optical, electron beam, ion beam) and pattern replication methods, including 3D-printing are discussed. Finally, nanocharacterisation using electrons, ions and scanning probe techniques are covered. Knowledge gained will be invaluable to design current and future nanosystems for diverse industries.",,pending
"This course is a first course on photonics that combines fundamentals with important applications, and is targeted at students interested in modern optical technology. The course covers planar dielectric waveguides, basics of optical fibre communication, optical properties of crystals and semiconductors, interband transitions and radiative recombination, semiconductor detectors, stimulated emission and population inversion, diode laser threshold and output power, argon and YAG lasers, Q-switching and mode-locking, electro-optics modulators and flat panel displays. The course strives to maintain succinctness in physical meaning and simplicity in approach with generous allotment of numerical examples to help in understanding the equations.",,pending
"This course introduces students to astrophysics. It covers observational astronomy, celestial mechanics, and stars. Students will learn to conduct astronomical observations, analyse and interpret astronomical data, and use the principles of physics to study stars. The major topics covered in this course include celestial motions, telescopes, stellar properties, binary systems, stellar spectra, equations of stellar structure, and star formation.",,pending
"The objective of this course is to establish the interconnectedness of knowledge between principles of optics and modern sciences/technologies and identify the applications in our daily life. It covers wave properties, refraction and dispersion, interference, Michelson interferometer, Fabry-Perot cavity and optical resonator, interference filter, Fraunhofer and Fresnel diffraction, resolution limit, Fourier transformation, holography; polarisation, birefringence and wave plates, light absorption and emission, lasers. This course is targeted at physics and non-physics students, who are interested in principles of modern optics.",,pending
"The changes to physical properties (electronic, optical and magnetic) due to formation of structures at the nanoscale will be the main emphasis of this course. Properties differing from the bulk due either to an increase in surface area/volume ratio or quantum confinement will be studied in structures ranging from quantum wells, wires and dots to self-assembled mono-layers and heterostructure formation. The kinetics and thermodynamics driving the formation of these nanostructured surfaces and interfaces will be discussed. The course will also highlight current and potential applications of these nanoscale systems. Examples of materials systems will include metals, oxides, III-V, II-VI, CNT, SiC and SiGe systems.",,pending
"This elective course assumes knowledge of and is a sequel to PC2032. A good command of calculus and linear algebra is desirable. It is intended for students who wish to acquire a deeper understanding of our Mechanical Universe. It considers the principles of relativistic, Lagrangian and Hamiltonian mechanics, and aims to establish a bridge to the principles of modern Physics. Topics covered include: dynamics with central forces, bound and unbound orbits, scattering; relativistic kinematics and dynamics of a particle, Lorentz transformations, four-dimensional notations; Lagrangian mechanics, the action principle, Euler-Lagrange equation; Hamiltonian mechanics.",,pending
"This course aims to introduce the principles and approaches of physics in the area of molecular biophysics. It includes molecular complexes of biomolecules; physical and symmetrical relationships between biomolecules; physical and structural characteristics of proteins and amino acids; symmetric and statistical descriptions of nucleic acids; first law and second law of thermodynamics in biological systems; bonding and non-bonding potentials, and stabilizing interactions in biomacromolecules, and the correlation to macromolecular structures; molecular mechanics in biological systems; bio soft condensed materials, bio-membrane and biomembrane structure, principles of molecular self assembly of biomolecules. There is a lab component included in this course. This course is targeted at both physics and non-physics students who already have basic knowledge in physics and life sciences.",,pending
"By extracting and predicting insightful correlations within observations of complex physical phenomena, Machine Learning (ML) models push the boundaries of data-driven scientific exploration. This couse introduces ML models and their underlying principles, including a short overview of foundational statistics and information theory. Furthermore, students will see applications of ML models to the Physical Sciences (e.g. optics, statistical physics, condensed matter, biological physics). Although this course will be taught in the Python programming language, prior experience in any programming language will nonetheless be helpful.",,pending
"This module introduces important mathematical methods for the solution of a variety of mathematical problems in physics. The following topics are covered: functions of a complex variable, singularities and residues, contour integration; calculus of variations; transformations in physics, symmetries and group theory, discrete groups, group representations and their applications in physics; tensor analysis, application to classical mechanics, electrodynamics, and relativity.",,pending
"This course aims to give students the necessary mathematical skills for other physics courses. The topics to be covered include: vector spaces; Fourier series; Dirac delta-function; Fourier transforms; partial differential equations, separation of variables; physical applications",,pending
"This student seminar series offers the opportunity to study a particular subject directly supervised by a faculty member whose research is related to the subject. The subjects are presented in form of seminar talks with time for questions and discussions, and are to be summarized in a report. Emphasis is made on further developing presentation and communication skills by supervision of the preparation of seminar talks and feedback on presentation style involving fellow students. The actual physical field that is covered by the seminar series depends on the particular lecturer(s) and will be announced online. Please refer to the following website for more information: http://www.physics.nus.edu.sg/corporate/student/ugrad_course_PC3280.html",,pending
"This course allows students to conduct Physics research. Students can undertake literature review and work on experiments using techniques related to synthesis, characterisation and applications. After completing this course, students will acquire some competence in analysing problems in Physics and proposing viable solutions. Please note that only 4 Units can be accredited towards major requirements in the case a student undertakes 8 Units for both PC3288/R and PC3289/R.",,pending
Variant of PC3288. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288A/R and PC3289A/R.,,pending
"Variant of PC3288R. This course is enhanced with the Research Experience Programme, where students attend seminars and workshops, access writing consultations, receive a grant to do independent research, and present their findings at a conference. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288A/R and PC3289A/R.",,pending
Variant of PC3288. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288N/R and PC3289N/R.,,pending
"Variant of PC3288R. This course is enhanced with the Research Experience Programme, where students attend seminars and workshops, access writing consultations, receive a grant to do independent research, and present their findings at a conference. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288N/R and PC3289N/R.",,pending
Variant of PC3288. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288Q/R and PC3289Q/R.,,pending
"Variant of PC3288R. This course is enhanced with the Research Experience Programme, where students attend seminars and workshops, access writing consultations, receive a grant to do independent research, and present their findings at a conference. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288Q/R and PC3289Q/R.",,pending
"This course allows students to conduct Physics research. Students can undertake literature review and work on experiments using techniques related to synthesis, characterisation and applications. After completing this course, students will acquire some competence in analysing problems in Physics and proposing viable solutions. This course is enhanced with the Research Experience Programme, where students attend seminars and workshops, access writing consultations, receive a grant to do independent research, and present their findings at a conference. Please note that only 4 Units can be accredited towards major requirements in the case a student undertakes 8 Units for both PC3288/R and PC3289/R.",,pending
This course provides a continuation of work done in PC3288/R and the project should be of two semesters' duration. Please note that only 4 Units can be accredited towards major requirements in the case a student undertakes 8 Units for both PC3288/R and PC3289/R.,,pending
Variant of PC3289. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288A/R and PC3289A/R.,,pending
"Variant of PC3289R. This course is enhanced with the Research Experience Programme, where students attend seminars and workshops, access writing consultations, receive a grant to do independent research, and present their findings at a conference. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288A/R and PC3289A/R.",,pending
Variant of PC3289. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288N/R and PC3289N/R.,,pending
"Variant of PC3289R. This course is enhanced with the Research Experience Programme, where students attend seminars and workshops, access writing consultations, receive a grant to do independent research, and present their findings at a conference. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288N/R and PC3289N/R.",,pending
Variant of PC3289. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288Q/R and PC3289Q/R.,,pending
"Variant of PC3289R. This course is enhanced with the Research Experience Programme, where students attend seminars and workshops, access writing consultations, receive a grant to do independent research, and present their findings at a conference. Please note that only 4 Units can be accredited towards major or specialisation requirements in the case a student undertakes 8 Units for both PC3288Q/R and PC3289Q/R.",,pending
"This course provides a continuation of work done in PC3288/R and the project should be of two semesters' duration. It is enhanced with the Research Experience Programme, where students attend seminars and workshops, access writing consultations, receive a grant to do independent research, and present their findings at a conference. Please note that only 4 Units can be accredited towards major requirements in case that a student undertakes 8 Units for both PC3288/R and PC3289/R.",,pending
"The course provides hands-on experience with modern detectors, electronics, data acquisition systems, radiation sources and other nuclear physics equipment that forms the basis for the applications of nuclear physics to medical physics, radiation protection and other fields. The course will be restricted to the students in the Medical Physics minor.",,pending
"The course gives an introduction to the basic physics, the biology and the applications of radiation in medical imaging and radiation therapy. After a review of basic radiation physics and the relevant radiobiology, the currently used major modes of diagnostic and interventional imaging are covered. This will be followed by a discussion of the major methods of radiation cancer therapy (by photons, protons and electrons).",,pending
"This course adopts a heuristic approach to understanding the current paradigm of the first 3 minutes of the Big Bang. Mathematics will be introduced only when necessary. Participants will also be enthused with the historical and philosophical development of Space and Time discussed. Topics covered include Relativity, Quantum Physics and Cosmology.",,pending
"This course provides an introduction to the scientific study of stars. It covers the physical properties of stars, the measurements of these properties, and the relevant laws of physics. It discusses the relationship among stellar physical properties as a step towards understanding star formation and stellar evolution. Some advanced topics, including variable stars, supernovae and black holes, are briefly discussed.",,pending
"This course covers the structure of galaxies starting from star formation and star clusters with a strong focus on the analysis of observational data and insights from simulations. We discuss the underlying physics that give rise to the various shapes and structures that we see in galaxies, and briefly discuss the role of the supermassive black hole in the centre of many galaxies. Finally, we end off with clusters of galaxies and the large-scale structure of the universe.",,pending
"Quantum phenomena based on the superposition principle and quantum entanglement have attracted significant attention in the past. Nowadays, strong efforts are being made to develop applications based on these phenomena. Such Quantum Technologies includes use cases in quantum communication and information processing, quantum enabled sensing, and quantum computations and simulations. The aim of this course is to provide the student with an overview of the applications and underlying principles. This covers a broad range of topics from quantum key distribution, over atomic clocks, inertial sensors, to early types of quantum computers.",,pending
"With the rapid ageing of the world population and an increasing world-wide prevalence of chronic and infectious diseases, the demand for medical infrastructure is expected to rise over the foreseeable future. A basic understanding of the various forms of modern medical technology is therefore important as a form of health literacy among the general population. This course provides a basic introduction to the major forms of diagnostic imaging and radiation therapy from a physics perspective. The course content is taught from an introductory level and prior knowledge in biology and medicine is not required.",,pending
"This course introduces students to the science and practice of numerical weather prediction (NWP) and climate modelling, with emphasis on the numerical methods for solving the system of governing equations. The major topics covered include: 1. Basic equations governing the dynamics and thermodynamics of the atmospheric and oceanic processes. Modes of atmospheric motions and the filtering approximations. 2. Solution of parabolic, elliptic and hyperbolic equations. Finite-difference, finite-volume, spectral numerical methods. Linear and nonlinear computational instability. Students will develop codes for solving 2-D shallow water systems. 3. Parameterisation of subgrid scale processes. 4. Data assimilation. 5. Atmospheric predictability and ensemble forecasting.",,pending
"This course provides an overview of the fundamental dynamical and physical processes important in meteorology and oceanography, explaining how their interactions and feedbacks contribute to the complex, nonlinear weather/climate system. Students will emerge with an understanding of the fundamental atmospheric and oceanic processes e.g. surface heating, convection, radiation, friction, etc. and how their interactions with the water cycle leads to much of the weather we see on earth.",,pending
This course is a continuation of module PC3130. It is targeted at physics majors. The algebraic structure of angular momentum is developed with an emphasis on the addition of two angular momenta. The properties of systems consisting of identical particles are studied. The last part of the course focuses on time-dependent perturbation calculus and scattering theory. The course is mainly targeted at physics majors.,,pending
"Quantum technology is a field of physics and engineering which exploits quantum phenomena, such as entanglement, superposition and tunneling, for advanced applications, including quantum computing, quantum key distribution, quantum metrology, and information processing. This is a fast emerging field with strong industry potential. In this course, students will be equipped with essential knowledge in the physics and technology of a wide range of quantum devices, including quantum detectors, quantum light sources, quantum number generators, quantum sensors, and quantum computers. Students will also learn skills in the characterization of these devices, including data analysis and interpretation of quantum behavior.",,pending
"This third undergraduate course in quantum mechanics starts with a recap of the main contents covered by lower-level quantum mechanics courses, in particular time-independent and time-dependent perturbation theory, with more depth. Matlab is introduced to implement the discrete variable representation to solve time-independent Schrodinger equations, and the Split-Operator technique to solve time-dependent Schrodinger equations, with necessary coding from the stratch. This course also covers a number of frontiers topics, including adiabatic theorem, adiabatic control, shortcuts to adiabaticity, geometric phases, density matrix, reduced density matrix, quantum measurement models, quantum master equations, spin-boson model, decoherence, and dynamical decoupling.",,pending
"The topics covered include galaxies, cosmology, cosmological parameters, large scale structures of the universe, dark matter and dark energy, negative energies, cosmic microwave background, baryon genesis, big bang, inflation, open and closed universe, gamma ray burst (standard candles), cosmic acceleration.",,pending
"Computation is playing an increasingly important role in materials discovery. This course introduces the basic concepts and provides an overview of methods in modern computational condensed matter physics. Major topics to be covered include a brief review on empirical and semi-empirical approaches in electronic structure calculation, density functional theory, methods for solving the Kohn-Sham equation, applications to different types of materials, modelling effects of external fields and transport property. The course is suitable for upper level undergraduate and graduate students who are interested in computer modelling and simulation in condensed matter physics and materials science.",,pending
"This course introduces students to elements of the physics of crystalline solids. Topics covered include: energy bands of the nearly free electron model, tight binding method, Fermi surfaces and their experimental determination, plasmons, polaritons and polarons, optical processes and excitons. We will also cover superconductivity, dielectrics and ferroelectrics, diamagnetism, paramagnetism, ferromagnetism and antiferromagnetism, and magnetic resonance. This course is targeted at physics majors, and is useful for science and engineering students who already have background knowledge of solid state physics on par with PC3235 Solid State Physics I.",,pending
"This course presents the fundamentals of statistical mechanics. Starting with the classical and quantum postulates, the three ensembles of Gibbs are derived. The statistical interpretation of thermodynamics then follows. The thermodynamic quantities are obtained in terms of the number of states, partition and grand partition functions. Applications to independent electron systems, with and without magnetic field, and Bose-Einstein condensation are given. The course ends with a brief introduction to phase transitions. This course is targeted at physics students with at least one year of thermal physics.",,pending
"This advanced module presents the fundamentals of classical electrodynamics in much depth. It covers the following topics: relativistic formulation of the electromagnetic field, covariance of electrodynamics, conservation laws, radiation by moving charges, Lienard-Wiechert potentials, Larmor's formula, angular distribution of radiation, spectral properties of radiation, Cherenkov radiation, Bremsstrahlung, synchrotron radiation, multipole expansions, and applications. A good mathematical foundation is required.",,pending
"The objective of this course is to provide students with a background to the important developments in atomic physics over the last 30 years that have now become standard techniques utilized in many laboratories around the world. The lectures provide a detailed description of the interaction of atoms with electromagnetic fields and applies this analysis to a number of applications such as laser spectroscopy, laser cooling, and magnetic and optical trapping. The course will provide students with a comprehensive background to the tools of modern atomic physics",,pending
"This is an introductory course on the fundamental constituents of matter and their basic interactions; important concepts and principles, recent important experiments, underlying theoretical tools and calculation techniques in elementary particles physics will be expounded. The topics covered are: basic properties of elementary particles and the standard model, relativistic kinematics; symmetries: isospin and SU(3), quark model; parity and CP violation; Feynman diagrams and rules; quantum electrodynamics; cross sections and lifetimes: deep inelastic scattering; and introductory gauge theories and unified models. This course is mainly targeted at physics majors.",,pending
"This course is an introduction to the quantum description of the electromagnetic fields at optical frequencies. Students will learn how to construct quantum models of common experiments in quantum optics. Topics include the quantisation of the electromagnetic fields, common quantum optical states, quantum models of linear optics and loss, common optical measurements, interferometers, squeezing, and the generation of entangled photons via spontaneous parametric down conversion. Important applications of quantum optics are discussed, including the use of squeezed light in interferometers for gravitational-wave detection and the use of entangled photons in experimental tests of quantum mechanics.",,pending
"This course provides an introduction to the theory of general relativity. The topics covered are: general tensor analysis, the Riemann tensor, the gravitational field equation, the Schwarzschild solution, experimental tests of general relativity, black holes, and Friedmann-Robertson-Walker models of the expanding universe. While this course is mainly targeted at physics majors, it is also suitable for science students with a strong mathematical foundation.",,pending
"Starting with an introduction to the nuclear physics of stars and the processes of nucleosynthesis, following a brief introduction to nuclear physics. nucleosynthesis via quiescent burning, and the processes that lead to the production of heavy (A>60) elements are covered. The endstages (brown dwarfs, white dwarfs, neutron stars and black holes) are discussed in detail. In the second part of the course, large structures in the universe, are discussed, including star clusters, galaxy structure, and galaxy clustering. The course ends with a discussion of the cosmological scale structure of the universe. This course is a continuation of PC3246 Astrophysics I.",,pending
"The scope of the course embraces the basic principles of thin-film deposition techniques such as chemical vapor deposition and physical vapor deposition as well as their applications in the microelectronics industry. The basic principles include vacuum technology, gas kinetics, adsorption, surface diffusion and nucleation. These are the fundamental features which determine the film growth and the ultimate film properties. Common thin-film characterization methods which measure film composition and structure as well as mechanical and electrical properties are also covered. This course is for senior physics students with an interest in pursuing a career in industry.",,pending
"This course provides an introduction to surface physics, its techniques and applications. The topics include: surface tension, surface crystallography, surface physical processes such as relaxation, reconstruction and defects, surface chemical properties, surface segregation, surface electronic structures including surface states, band bending, dipole layer, work function, core-level-shifts, Fermi level pining, plasmon, and surface vibrational properties. Experimental techniques, such as LEED, RHEED, XAS, SEXAFS, XPS, UPS, AES, SIMS and EELS, will be also addressed with examples and applications. This course is targeted at physics or materials science students, who have a basic knowledge of quantum mechanics and solid state physics.",,pending
"Remote sensing is the acquisition of information about a target from a distance, in particular from satellites, aircrafts, and drones. This course equips students with knowledge to understand, and model, satellite orbital dynamics and global positioning, radiometry, multi-spectral and hyper-spectral imaging of atmosphere, land, and ocean. Students will also learn skills in data processing of real-life satellite images through project work, including the application of radiometric, terrain and atmospheric corrections. The course will also leverage on access to Singapore's Centre for Remote Imaging, Sensing and Processing.",,pending
"This course aims to introduce students to solid-state devices, which are fundamental components in modern electronics. The topics covered include: introduction to semiconductors, charge carrier concentrations, drift of carriers in electric and magnetic fields, diffusion and recombination of excess carriers, p-n junction physics, junction diodes, tunnel diodes, photodiodes, solar cells, light emitting diodes, bipolar junction transistors, metal-semiconductor contacts, metal-insulator-semiconductor interfaces, basic MOSFET.",,pending
"This course covers the current research areas of biophysics. It focuses on thoroughly dissecting and discussing recent breakthroughs in biophysics by covering published scientific literature on topics such as current and emerging biophysical methods (microscopy, spectroscopic, sensing and detection), physical description of biomolecular structures, physical principle of biological locomotion, forces and energy concepts in biological systems, concept of charge transfer and electricity in biological system. This course is targeted at physics and non-physics students who already have basic knowledge of molecular biology and the following areas of physics: mechanics, thermodynamics, electricity, and magnetism.",,pending
"This course introduces the techniques applied in biophysics and biomolecular electronics. It covers absorption and emission spectroscopy associated with biomolecules; infrared and Raman spectroscopy; magnetic resonance; symmetry of crystal, x-ray crystal structure analysis for macromolecular-structures; principles of light scattering, Rayleigh scattering, scattering from particles comparable to wavelength of radiation, static light scattering, dynamic light scattering, low angle X ray/neutron scattering, scanning probing microscopy; chemical, somatic, and visceral receptors, elements of integrated technologies and applications for biosensors; bio-molecular devices, protein computer. There is a lab component included in this course. This course is targeted at both physics and non-physics students who already have basic knowledge in physics, electronics and molecular biology.",,pending
"This module introduces advanced mathematical methods that are essential in many areas of theoretical physics. The topics covered are: differentiable manifolds, curved manifolds, tangent and dual spaces, calculus of differential forms, Stokes' theorem, and applications to electromagnetic theory; symmetries of manifolds, Lie derivatives, Lie groups and algebras, their representations and physical applications. The module is targeted at students who wish to study theoretical physics.",,pending
"This course introduces important mathematical methods for the solution of a variety of mathematical problems in physics. The following topics are covered: functions of a complex variable, singularities and residues, contour integration; transformations in physics, symmetries and group theory, discrete groups, group representations and their applications in physics; tensor analysis, application to classical mechanics, electrodynamics, and relativity.",,pending
"This is a year-long project course which carries 8 Units. Students will conduct research under the supervision of an academic staff of the Physics Department. The nature of the research work could be theoretical, experimental, or computational. This course can be used to fulfill the project requirement in the Primary Major in Physics.",,pending
"This course establishes the foundation of climate science and climate modelling, and exposes students to the evolving realities of climate change. It spans topics in basic atmosphere and ocean science like dynamics, radiation, convection and chemistry. The coverage includes defining the concept of 'climate', describing how climate elements are observed, discussing key feedbacks that regulate climate, and distinguishing climate change from natural variabilities like ENSO. Throughout the course, fundamental mechanisms of balance, instability and transfer are revealed using mathematical analysis and results of numerical modelling. At the end, students will appreciate the complexity of the climate system across spatio-temporal scales.",,pending
"This course will introduce students to PPE as a interdisciplinary endeavour, by showing them how social and political philosophy can be done in a way that is strongly informed by the findings of social science. The course will be organized around discussing a few specific issues – such as inequality, nudging, climate change, and the formation of the state. Analysing these issues will introduce students to the methods and results of philosophy, political science, and economics, and show how they could be integrated to better understand and tackle social and political phenomena.",,pending
"This course is an introduction to decision and social choice theory. The first half introduces the theory of expected utility, according to which rational actions maximise the probability of desirable consequences. The second half introduces utilitarianism, according to which the right action is one which maximises the satisfaction of desire for the population at large. Both theories are controversial for their highly quantitative nature, their demanding conception of rationality and rightness, their insensitivity to risk and inequality, their prioritization of ends over means, and their tenuous relationship to actual human behaviour and morality. These controversies are discussed.",,pending
